date,kilograms,pounds
2013-12-01,96.4,212.5
2013-12-02,96.6,213.0
2013-12-03,96.3,212.3
2013-12-04,96.1,211.9
2013-12-05,96.3,212.3
2013-12-06,95.8,211.2
2013-12-07,96.0,211.6
2013-12-08,95.7,211.0
2013-12-09,95.8,211.2
2013-12-10,95.5,210.5
2013-12-11,95.7,211.0
2013-12-12,95.2,209.9
2013-12-13,94.9,209.2
2013-12-14,95.0,209.4
2013-12-15,94.7,208.8
2013-12-16,94.3,207.9
2013-12-17,94.5,208.3
2013-12-18,94.0,207.2
2013-12-19,93.8,206.8
2013-12-20,93.7,206.6
2013-12-21,93.9,207.0
2013-12-22,93.4,205.9
2013-12-23,93.7,206.6
2013-12-24,93.4,205.9
2013-12-25,93.0,205.0
2013-12-26,93.2,205.5
2013-12-27,93.1,205.3
2013-12-28,92.8,204.6
2013-12-29,92.3,203.5
2013-12-30,91.8,202.4
2013-12-31,92.0,202.8
2014-01-01,92.2,203.3
2014-01-02,93.1,205.3
2014-01-03,92.1,203.0
2014-01-04,91.9,202.6
2014-01-05,91.8,202.4
2014-01-06,91.8,202.4
2014-01-07,92.2,203.3
2014-01-08,92.0,202.8
2014-01-09,91.2,201.1
2014-01-10,91.4,201.5
2014-01-11,91.6,201.9
2014-01-12,91.0,200.6
2014-01-13,91.1,200.8
2014-01-14,91.2,201.1
2014-01-15,91.9,202.6
2014-01-16,91.0,200.6
2014-01-17,90.6,199.7
2014-01-18,90.9,200.4
2014-01-19,90.6,199.7
2014-01-20,90.1,198.6
2014-01-21,90.4,199.3
2014-01-22,89.8,198.0
2014-01-23,90.0,198.4
2014-01-24,89.6,197.5
2014-01-25,89.4,197.1
2014-01-26,89.2,196.7
2014-01-27,89.0,196.2
2014-01-28,88.8,195.8
2014-01-29,88.5,195.1
2014-01-30,88.0,194.0
2014-01-31,87.4,192.7
2014-02-01,87.8,193.6
2014-02-02,87.7,193.3
2014-02-03,87.6,193.1
2014-02-04,87.7,193.3
2014-02-05,88.2,194.4
2014-02-06,87.4,192.7
2014-02-07,87.0,191.8
2014-02-08,87.4,192.7
2014-02-09,88.0,194.0
2014-02-10,87.6,193.1
2014-02-11,87.4,192.7
2014-02-12,88.0,194.0
2014-02-13,87.0,191.8
2014-02-14,87.5,192.9
2014-02-15,86.5,190.7
2014-02-16,86.9,191.6
2014-02-17,87.0,191.8
2014-02-18,86.1,189.8
2014-02-19,87.2,192.2
2014-02-20,86.2,190.0
2014-02-21,87.0,191.8
2014-02-22,86.7,191.1
2014-02-23,86.2,190.0
2014-02-24,86.8,191.4
2014-02-25,87.0,191.8
2014-02-26,86.2,190.0
2014-02-27,85.8,189.2
2014-02-28,85.7,188.9
2014-03-01,85.6,188.7
2014-03-02,85.2,187.8
2014-03-03,86.3,190.3
2014-03-04,85.5,188.5
2014-03-05,85.8,189.2
2014-03-06,85.4,188.3
2014-03-07,85.5,188.5
2014-03-08,84.6,186.5
2014-03-09,85.7,188.9
2014-03-10,85.9,189.4
2014-03-11,85.1,187.6
2014-03-12,85.1,187.6
2014-03-13,84.8,187.0
2014-03-14,85.2,187.8
2014-03-15,85.0,187.4
2014-03-16,87.1,192.0
2014-03-17,85.8,189.2
2014-03-18,84.4,186.1
2014-03-19,83.8,184.7
2014-03-20,84.2,185.6
2014-03-21,85.6,188.7
2014-03-22,84.0,185.2
2014-03-23,83.6,184.3
2014-03-24,83.0,183.0
2014-03-25,83.3,183.6
2014-03-26,83.2,183.4
2014-03-27,83.1,183.2
2014-03-28,83.2,183.4
2014-03-29,82.6,182.1
2014-03-30,82.8,182.5
2014-03-31,83.0,183.0
2014-04-01,84.2,185.6
2014-04-02,84.5,186.3
2014-04-03,84.0,185.2
2014-04-04,83.5,184.1
2014-04-05,83.0,183.0
2014-04-06,82.5,181.9
2014-04-07,82.0,180.8
2014-04-08,82.2,181.2
2014-04-09,81.7,180.1
2014-04-10,82.1,181.0
2014-04-11,81.8,180.3
2014-04-12,81.4,179.5
2014-04-13,81.0,178.6
2014-04-14,80.4,177.3
2014-04-15,81.2,179.0
2014-04-16,81.0,178.6
2014-04-17,80.6,177.7
2014-04-18,81.2,179.0
2014-04-19,82.0,180.8
2014-04-20,81.6,179.9
2014-04-21,81.3,179.2
2014-04-22,80.9,178.4
2014-04-23,81.2,179.0
2014-04-24,81.7,180.1
2014-04-25,81.4,179.5
2014-04-26,81.6,179.9
2014-04-27,81.2,179.0
2014-04-28,81.0,178.6
2014-04-29,80.8,178.1
2014-04-30,80.6,177.7
2014-05-01,80.2,176.8
2014-05-02,79.9,176.1
2014-05-03,80.6,177.7
2014-05-04,80.4,177.3
2014-05-05,81.0,178.6
2014-05-06,80.7,177.9
2014-05-07,80.9,178.4
2014-05-08,79.4,175.0
2014-05-09,79.6,175.5
2014-05-10,80.7,177.9
2014-05-11,81.0,178.6
2014-05-12,80.2,176.8
2014-05-13,80.4,177.3
2014-05-14,79.8,175.9
